numero_experimento;dataset;estructura_de_datos;cantidad_tweets;tiempo_ejecucion_us
1;auspol2019;Chaining_user_id;10000;5452
1;auspol2019;Chaining_user_screen_name;10000;2439
1;auspol2019;ClosedLinear_user_id;10000;2017
1;auspol2019;ClosedLinear_user_screen_name;10000;1811
1;auspol2019;ClosedQuadratic_user_id;10000;1862
1;auspol2019;ClosedQuadratic_user_screen_name;10000;2380
1;auspol2019;ClosedDoubleHashing_user_id;10000;3015
1;auspol2019;ClosedDoubleHashing_user_screen_name;10000;2837
1;auspol2019;STLUnorderedMap_user_id;10000;2007
1;auspol2019;STLUnorderedMap_user_screen_name;10000;1788
1;auspol2019;Chaining_user_id;20000;4846
1;auspol2019;Chaining_user_screen_name;20000;4250
1;auspol2019;ClosedLinear_user_id;20000;4514
1;auspol2019;ClosedLinear_user_screen_name;20000;4241
1;auspol2019;ClosedQuadratic_user_id;20000;5135
1;auspol2019;ClosedQuadratic_user_screen_name;20000;3654
1;auspol2019;ClosedDoubleHashing_user_id;20000;5584
1;auspol2019;ClosedDoubleHashing_user_screen_name;20000;6398
1;auspol2019;STLUnorderedMap_user_id;20000;4147
1;auspol2019;STLUnorderedMap_user_screen_name;20000;4650
1;auspol2019;Chaining_user_id;30000;7656
1;auspol2019;Chaining_user_screen_name;30000;6060
1;auspol2019;ClosedLinear_user_id;30000;6350
1;auspol2019;ClosedLinear_user_screen_name;30000;7859
1;auspol2019;ClosedQuadratic_user_id;30000;7687
1;auspol2019;ClosedQuadratic_user_screen_name;30000;7201
1;auspol2019;ClosedDoubleHashing_user_id;30000;9371
1;auspol2019;ClosedDoubleHashing_user_screen_name;30000;8203
1;auspol2019;STLUnorderedMap_user_id;30000;5975
1;auspol2019;STLUnorderedMap_user_screen_name;30000;5505
1;auspol2019;Chaining_user_id;40000;9068
1;auspol2019;Chaining_user_screen_name;40000;8930
1;auspol2019;ClosedLinear_user_id;40000;6977
1;auspol2019;ClosedLinear_user_screen_name;40000;8603
1;auspol2019;ClosedQuadratic_user_id;40000;8153
1;auspol2019;ClosedQuadratic_user_screen_name;40000;7992
1;auspol2019;ClosedDoubleHashing_user_id;40000;9959
1;auspol2019;ClosedDoubleHashing_user_screen_name;40000;9750
1;auspol2019;STLUnorderedMap_user_id;40000;6965
1;auspol2019;STLUnorderedMap_user_screen_name;40000;6831
1;auspol2019;Chaining_user_id;50000;9009
1;auspol2019;Chaining_user_screen_name;50000;8182
1;auspol2019;ClosedLinear_user_id;50000;7867
1;auspol2019;ClosedLinear_user_screen_name;50000;8328
1;auspol2019;ClosedQuadratic_user_id;50000;8539
1;auspol2019;ClosedQuadratic_user_screen_name;50000;7810
1;auspol2019;ClosedDoubleHashing_user_id;50000;12730
1;auspol2019;ClosedDoubleHashing_user_screen_name;50000;12216
1;auspol2019;STLUnorderedMap_user_id;50000;10596
1;auspol2019;STLUnorderedMap_user_screen_name;50000;10526
1;auspol2019;Chaining_user_id;60000;17061
1;auspol2019;Chaining_user_screen_name;60000;18697
1;auspol2019;ClosedLinear_user_id;60000;10458
1;auspol2019;ClosedLinear_user_screen_name;60000;9621
1;auspol2019;ClosedQuadratic_user_id;60000;9579
1;auspol2019;ClosedQuadratic_user_screen_name;60000;9255
1;auspol2019;ClosedDoubleHashing_user_id;60000;14155
1;auspol2019;ClosedDoubleHashing_user_screen_name;60000;13890
1;auspol2019;STLUnorderedMap_user_id;60000;10407
1;auspol2019;STLUnorderedMap_user_screen_name;60000;10135
1;auspol2019;Chaining_user_id;70000;14510
1;auspol2019;Chaining_user_screen_name;70000;14923
1;auspol2019;ClosedLinear_user_id;70000;11736
1;auspol2019;ClosedLinear_user_screen_name;70000;10936
1;auspol2019;ClosedQuadratic_user_id;70000;11123
1;auspol2019;ClosedQuadratic_user_screen_name;70000;10758
